Item No.,Item No. on PDCA,Car Maker,Car Model,Line,Findings,Items to Check/Action,Department,Person in Charge,Status,Target Date,,,
1,23,SUZUKI,YLP,5121,No jig cover (all boards),Request to provide jig cover to all boards,"PE-BAE
(Assy Development)",K. De Grano,CLOSED,14-Sep-23,,,
2,13,SUZUKI,YOC,5121,No provided wire damaged prevention jig installed on assy jig (breaking jig) on all assyboards, Provide jig cover to all assembly jig,PE-BAE (ASSY DEV),K. De Grano,CLOSED,14-Sep-23,,,
3,7,SUZUKI,YD1 Floor,5119,No receiving jig on conn. 45 from bukumi 3 a/b for checking protector o,"For confirmation from juntion to conn. 64 and from clamp to clamp 20 

Answer: No need to install receiving jig, since clamp no. ",PE-BAE (ASSY DEV),K. De Grano,CLOSED,19-Jul-23,,,
4,39,SUZUKI,YD1 Floor,5119,Request to change location of Packaging OI on Appearance inspection.,Change location of Packaging OI on Appearance inspection.,ME-NPI (MPPD),April,CLOSED,14-Jul-23,,,
5,44,SUZUKI,YD1 Floor,5119,Confirm the jig height if have difficulty on process that can affect the dimension.,"Verify the jig height on Assy boards.

Answer: Upon verification, the height and level of harness are good. No need to change jig height/combine.",PE-BAE (ASSY DEV),K. De Grano,CLOSED,17-Jul-23,,,
6,7,SUZUKI,YD1 Floor,5124,No receiving jig on conn. 45 from bukumi 3 a/b for checking protector on conn. 61,"For confirmation from juntion to conn. 64 and from clamp to clamp 20 
Answer: No need to add assy jig,  dimension of clamp and connector are already controlled from clamp 65. U-jig will serves as the holder for the branch.",PE-BAE (ASSY DEV),K. De Grano,CLOSED,19-Jul-23,,,
7,35,SUZUKI,YD1 Floor,5124,Request to change location of Packaging OI on Appearance inspection.,Change location of Packaging OI on Appearance inspection.,ME-NPI (MPPD),April,CLOSED,14-Jul-23,,,
8,1,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No upper limit on tupper box on Sub,Request to put upper limit indication on each connector  tupperboxes.,PRODUCTION,A. De Guzman,CLOSED,18-Apr-23,,,
9,2,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No good setting of joint wire on sub assy process.,Request to provide joint sub hanger.,PE-FABRICATION,A. De Guzman,CLOSED,18-Apr-23,,,
10,3,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No good label on tupperbox.,Request to provide and change label for tupperbox.,PRODUCTION,A. De Guzman,CLOSED,12-Apr-23,,,
11,4,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Too much dust on sub assy downspout.,Request to conduct 5's.,PRODUCTION,A. De Guzman,CLOSED,18-Apr-23,,,
12,5,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,NG pulling base for conn. YSN-8F and DSL-2FB (36751),"Request to repair pulling base.

Already Repair",PE-EQ-FINAL,EQ-PM-FINAL,CLOSED,15-Jul-23,,,
13,9,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,Associate did not comply on standard process on what to do when encountered abnormalities.,Request to educate associate what to do once abnormality was encountered.,PRODUCTION,A. De Guzman,CLOSED,19-Apr-23,,,
14,11,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No available OI on grommet process.,Request to provide OI.,ME-NPI (MPPD),A. De Guzman,CLOSED,19-Jul-23,,,
15,17,SUZUKI,YOC BK/AS/RR DR/ROOF/BUMP,5022,No E-bag on assembly associate.,Request to provide E-Bag,PRODUCTION,A. De Guzman,CLOSED,5-Jun-23,,,
